id,gender,age,bbox
1,女性,43,"[2354.257568359375, 667.6689453125, 2441.71533203125, 761.3873291015625]"
2,男性,65,"[1131.2515869140625, 491.42218017578125, 1201.774169921875, 576.2973022460938]"
3,男性,27,"[1513.0184326171875, 502.865478515625, 1582.6375732421875, 588.2246704101562]"
4,女性,30,"[2175.1328125, 749.66943359375, 2263.05419921875, 853.9984741210938]"
5,女性,38,"[356.75201416015625, 640.6154174804688, 437.772216796875, 742.9644775390625]"
6,男性,32,"[1266.8941650390625, 587.15185546875, 1346.442138671875, 689.9714965820312]"
7,男性,50,"[2203.191650390625, 501.2745666503906, 2275.58251953125, 585.4234619140625]"
8,女性,32,"[922.3636474609375, 594.3325805664062, 996.5270385742188, 687.2926025390625]"
9,女性,41,"[189.13665771484375, 723.7599487304688, 283.45574951171875, 825.2867431640625]"
10,女性,57,"[2119.86767578125, 456.693359375, 2183.474365234375, 528.923583984375]"
11,女性,42,"[1073.0582275390625, 692.0811767578125, 1159.2799072265625, 802.8329467773438]"
12,女性,54,"[2028.9556884765625, 497.3941650390625, 2095.94677734375, 570.2393188476562]"
13,女性,24,"[2445.911376953125, 792.3428955078125, 2531.506103515625, 895.9686279296875]"
14,女性,69,"[800.3357543945312, 629.2124633789062, 874.6026000976562, 721.948974609375]"
15,男性,26,"[1782.632568359375, 527.1253051757812, 1853.3887939453125, 619.350830078125]"
16,男性,27,"[1408.722412109375, 468.20233154296875, 1471.101318359375, 546.2272338867188]"
17,女性,24,"[692.432373046875, 582.3519287109375, 759.9346923828125, 670.6826171875]"
18,女性,34,"[490.9288330078125, 707.9451293945312, 579.312744140625, 823.7266235351562]"
19,女性,56,"[559.2579345703125, 639.894287109375, 638.199951171875, 740.5991821289062]"
20,男性,40,"[1893.1611328125, 765.84423828125, 1979.2723388671875, 871.7207641601562]"
21,男性,39,"[1493.4815673828125, 603.2202758789062, 1567.0321044921875, 704.28369140625]"
22,女性,25,"[1920.814453125, 583.21923828125, 1993.5716552734375, 672.2257690429688]"
23,女性,38,"[1344.560546875, 741.1486206054688, 1434.26806640625, 846.1582641601562]"
24,女性,30,"[1004.59619140625, 607.8665161132812, 1082.953857421875, 711.8977661132812]"
25,男性,44,"[1325.76953125, 475.345703125, 1389.77001953125, 553.8623046875]"
26,女性,30,"[1590.3287353515625, 732.8807373046875, 1674.85693359375, 839.6571655273438]"
27,男性,48,"[886.3086547851562, 731.7700805664062, 978.754150390625, 832.6624755859375]"
28,女性,36,"[462.60955810546875, 555.2000122070312, 542.6506958007812, 638.490234375]"
29,男性,65,"[772.740966796875, 416.1180725097656, 831.96142578125, 487.0897521972656]"
30,女性,34,"[1943.119873046875, 675.8875732421875, 2017.236572265625, 772.3684692382812]"
31,男性,33,"[1896.0931396484375, 380.3652648925781, 1952.9810791015625, 450.8348083496094]"
32,男性,27,"[429.784423828125, 420.5347595214844, 494.348876953125, 494.3006896972656]"
33,男性,36,"[1211.0924072265625, 461.1314697265625, 1271.93798828125, 532.28759765625]"
34,女性,44,"[1160.2799072265625, 609.9147338867188, 1231.69775390625, 695.0537109375]"
35,男性,23,"[1673.854248046875, 371.11285400390625, 1734.036865234375, 442.9300842285156]"
36,男性,25,"[993.867431640625, 401.038818359375, 1048.992431640625, 475.4506530761719]"
37,男性,46,"[372.75390625, 529.7828369140625, 452.3765563964844, 609.1129760742188]"
38,女性,26,"[1644.8486328125, 591.3606567382812, 1711.2318115234375, 682.6597290039062]"
39,男性,32,"[1726.0836181640625, 648.9627685546875, 1803.2086181640625, 753.8373413085938]"
40,男性,39,"[510.5019836425781, 456.51544189453125, 577.3797607421875, 531.924072265625]"
41,男性,51,"[917.4224243164062, 509.1349182128906, 983.1577758789062, 585.951904296875]"
42,男性,65,"[640.9472045898438, 539.8916625976562, 706.97265625, 619.4837036132812]"
43,男性,60,"[1847.9405517578125, 438.1653747558594, 1913.90576171875, 513.56884765625]"
44,男性,55,"[2118.916748046875, 642.4281616210938, 2197.84228515625, 742.0462036132812]"
45,男性,27,"[1741.09228515625, 379.44635009765625, 1799.897705078125, 450.1654052734375]"
46,女性,60,"[1275.26123046875, 407.417236328125, 1339.820556640625, 477.59051513671875]"
47,女性,56,"[2190.364990234375, 620.1488647460938, 2254.828857421875, 706.0242309570312]"
48,女性,51,"[918.8869018554688, 405.2291564941406, 978.5075073242188, 475.23284912109375]"
49,男性,31,"[1463.5203857421875, 387.99090576171875, 1520.924072265625, 452.71783447265625]"
50,男性,27,"[797.8385620117188, 366.9819641113281, 857.3087158203125, 442.0173645019531]"
51,男性,45,"[1661.6790771484375, 431.41290283203125, 1725.2088623046875, 513.06201171875]"
52,男性,26,"[1340.3424072265625, 384.94189453125, 1396.7685546875, 449.3175964355469]"
53,男性,30,"[1165.0618896484375, 376.1231384277344, 1226.1004638671875, 447.55511474609375]"
54,女性,67,"[570.9976196289062, 405.4770202636719, 631.92041015625, 473.5462646484375]"
55,女性,37,"[1358.9693603515625, 611.8008422851562, 1424.5218505859375, 698.83544921875]"
56,女性,32,"[1132.221923828125, 425.02569580078125, 1189.34326171875, 491.9722900390625]"
57,男性,46,"[545.0565795898438, 359.3974304199219, 605.0044555664062, 424.4947204589844]"
